mmsi,vessel_code,vessel_name,imo,call_sign,l,w,draft,cargo,vessel_group
484012,,,,,,,,,
1055232,,,,,,,,,
3160089,,SPERRY MARINE CANADA,,VX9DHX,,,,,
9108431,,,,,,,,,
11503166,,,,,,,,,
11505214,,,,,,,,,
13451726,,,,,,,,,
31601411,,,,,,,,,
32148794,,,,,,,,,
34966475,,,,,,,,,
35204160,,,,,,,,,
36766590,,,,,,,,,
49515438,,,,,,,,,
69769544,,,,,,,,,
72758942,,,,,,,,,
94007954,,,,,,,,,
98576546,,,,,,,,,
99764294,,,,,,,,,
102071408,,,,,,,,,
106268136,,,,,,,,,
109692755,,,,,,,,,
114022896,,,,,,,,,
114675793,,,,,,,,,
114677071,,,,,,,,,
114685272,,,,,,,,,
114688403,,,,,,,,,
114704034,,,,,,,,,
162897408,,,,,,,,,
170194594,,,,,,,,,
182451015,,,,,,,,,
183893310,,,,,,,,,
188524148,,,,,,,,,
198967706,,,,,,,,,
200000000,,,,,,,,,
207832088,,,,,,,,,
209087000,,,,,,,,,
209996004,,,,,,,,,
210562000,,,,,,,,,
210574673,,,,,,,,,
210942288,,,,,,,,,
211002010,,,,,,,,,
211608930,,,,,,,,,
212955000,,,,,,,,,
218820001,,,,,,,,,
219027000,,,,,,,,,
219031000,,,,,,,,,
219033000,,,,,,,,,
219193985,,,,,,,,,
224288430,,,,,,,,,
227034560,,WOLLOMBI II,,FGG6319,,,,,
227129060,,,,,,,,,
227205840,,,,,,,,,
227295350,,,,,,,,,
227405042,,,,,,,,,
227405170,,,,,,,,,
227504120,,MANEVAI,,FS2004,,,,,
227638440,,YVINEC,,FGE4240,,,,,
227695640,,KEA,,FGE9779,,,,,
228763000,,,,,,,,,
229087000,,,,,,,,,
229362376,,,,,,,,,
232005709,,ALAUDA,,MALK9,,,,,
232007935,,CMA CGM J ADAMS,IMO9780885,MAZS6,,,,,
232008102,,,,,,,,,
232012242,,,,,,,,,
232555374,,,,,,,,,
232649202,,,,,,,,,
232776082,,,,,,,,,
232806518,,,,,,,,,
233162168,,,,,,,,,
233514930,,,,,,,,,
233547512,,,,,,,,,
233549148,,,,,,,,,
234822280,,,,,,,,,
234927320,,,,,,,,,
235012130,,,,,,,,,
235018555,,SANNA II,,MFDQ8,,,,,
235088654,,VOLUNTEER,,2EWD9,,,,,
235088662,,COLUMBIA,,2EWE7,,,,,
235088663,,RAINBOW,,2EWE8,,,,,
235088685,,,,,,,,,
235090095,,HAPPY SOCKS,,2FCM6,,,,,
235099968,,NDS DARWIN,,2GRU5,,,,,
235100314,,RAJAH LAUT,,2GTD2,,,,,
235111511,,VALENTINA,,2IOQ4,,,,,
235114759,,RUM RUNNER,,2JCM4,,,,,
235116535,,STRANGE ATTRACTOR,,2JJW3,,,,,
235849004,,,,,,,,,
241528000,,,,,,,,,
242253432,,,,,,,,,
242818496,,,,,,,,,
244391188,,DUAL DRAGONS,,PH8770,,,,,
245206012,,EURODAM 12 / PHOS12,,,,,,,
247009616,,,,,,,,,
247303784,,,,,,,,,
248065000,,AISLING,IMO9793246,9HA4498,,,,,
248170992,,,,,,,,,
248249000,,,,,,,,,
248376000,,,,,,,,,
248426000,,,,,,,,,
248440000,,,,,,,,,
248457000,,,,,,,,,
249029004,,,,,,,,,
249167000,,CMA CGM OHIO,IMO9722687,9HA4132,,299.899993896484,,,
249169000,,CMA CGM RIO GRANDE,IMO9722699,9HA4134,,299.899993896484,,,
249202000,,,,,,,,,
249322000,,CMA CGM JACQUES JUNI,IMO9722716,9HA4198,,299.899993896484,,,
249431000,,,,,,,,,
249783000,,CAPE KORTIA,IMO9727613,9HA4377,,330.0,,,
249832000,,EURUS VENTURE,IMO9725897,9HA4394,,189.99000549316398,,,
253616113,,,,,,,,,
255809776,,,,,,,,,
256242000,,LILY OLDENDORFF,IMO9698434,9HA3861,,,,,
256871002,,,,,,,,,
256968000,,CMA CGM COLUMBIA,IMO9722663,9HA4048,,299.899993896484,,,
257160000,,,,,,,,,
258565810,,STORM,,LK9167,,,,,
258599004,,,,,,,,,
261022170,,ROCKNROLL II,,SPS2991,,,,,
265525820,,,,,,,,,
265549870,,LIV,,SM7YNX,,,,,
265589130,,DAWNBREAKER,,SIGF,,,,,
265706490,,,,,,,,,
269022984,,,,,,,,,
269101630,,INSPIRITY,,HBY4370,,,,,
269110210,,JADE AKKA,,HBY5087,,,,,
269864920,,,,,,,,,
272725920,,,,,,,,,
281308206,,,,,,,,,
283082994,,,,,,,,,
283574233,,,,,,,,,
291560738,,,,,,,,,
299226452,,,,,,,,,
301339939,,,,,,,,,
303328004,,,,,,,,,
303398002,,,,,,,,,
303435692,,,,,,,,,
303681000,,MOUNT DRUM,,WDJ7294,,,,,
303889217,,,,,,,,,
304456493,,,,,,,,,
311000462,,AVOCET ARROW,IMO9448255,C6CG2,,199.97999572753898,,,
311000641,,,,,,,,,
311037804,,,,,,,,,
311061569,,,,,,,,,
311349004,,,,,,,,,
311353004,,,,,,,,,
311393327,,,,,,,,,
311811320,,,,,,,,,
312341234,,,,,,,,,
314713526,,,,,,,,,
315389390,,,,,,,,,
315476947,,,,,,,,,
315494146,,,,,,,,,
315634460,,,,,,,,,
315678036,,,,,,,,,
315880443,,,,,,,,,
315922599,,,,,,,,,
315999977,,,,,,,,,
316000601,,,,,,,,,
316001027,,CARMANAH I,,,,,,,
316001028,,KAL-ANNE,,,,,,,
316001064,,,,,,,,,
316001160,,,,,,,,,
316001290,,CCGC OTTER BAY,,CG3262,,,,,
316001310,,GWAII HAANAS II,,CFC2760,,17.3099994659424,5.26000022888184,,
316001416,,SPIRIT OF DELTA,,,,,,,
316001464,,JUDY LEE,,,,14.630000114440902,5.03000020980835,,
316001479,,,,,,,,,
316001538,,JOHN STRICKLAND,,CZ4835,,14.9399995803833,4.42000007629395,,
316001597,,,,,,,,,
316001659,,,,,,,,,
316001723,,PACIFIC BOUNTY,,,,,,,
316001735,,,,,,,,,
316001749,,SIYAY,,,,,,,
316001753,,RCM-SAR 33 BRAVO,,CFG7745,,,,,
316001763,,,,,,,,,
316001765,,BATTLER,,CZ8085,,,,,
316001777,,MOORHEN,,CFG7696,,,,,
316001781,,,,,,,,,
316001819,,VIGILANT,,,,7.619999885559079,2.44000005722046,,
316001885,,ISLAND NAVIGATOR,,,,18.5,6.0,,
316001907,,KNOTTY GAL,,,,,,,
316002054,,PROFILER II,,CZ2496,,11.5699996948242,5.699999809265139,,
316002091,,,,,,,,,
316002538,,TALISMAN NO 1,,,,,,,
316002721,,,,,,,,,
316002727,,,,,,,,,
316002732,,,,,,,,,
316002839,,SHIRLEY EVELYN,,CFG7251,,11.130000114440902,3.9000000953674303,,
316002933,,AUXILIARY 7,,,,,,,
316002956,,,,,,,,,
316002976,,,,,,,,,
316003159,,,,,,,,,
316003366,,HASTE,,VG7610,,,,,
316003392,,,,,,,,,
316003455,,,,,,,,,
316003481,,OCEAN PARK,,VD4400,,13.229999542236301,4.42000007629395,,
316003486,,,,,,,,,
316003567,,THANE,,VY6541,,,,,
316003642,,NIGHT EAGLE,,,,,,,
316003695,,MARIE-EVE II,,VD7222,,,,,
316003699,,,,,,,,,
316003701,,COLD FISH,,,,11.5,4.17000007629395,,
316003709,,,,,,,,,
316003804,,,,,,,,,
316003917,,,,,,,,,
316003987,,AUXILIARY 6,,,,,,,
316004029,,,,,,,,,
316004039,,MAPLE LEAF,,VA4KIU,,18.1399993896484,4.480000019073491,,
316004280,,CARPE VENTUS,,CFI4644,,,,,
316004376,,ISLAND REWARD,,,,,,,
316004418,,EGRET,,CFL5358,,,,,
316004434,,BIG DOG'S,,CFK9747,,,,,
316004458,,,,,,,,,
316004479,,KINETIC,,CFG7437,,12.890000343322802,4.5,,
316004659,,F W WRIGHT,,,,,,,
316004727,,NORTH ISLE,,,,,,,
316004812,,QUICK CHANGE II,,CFG7352,,,,,
316004868,,TRIPLE M III,,CZ3363,,14.020000457763699,4.32999992370605,,
316004908,,ENTERPRISE V,,,,,,,
316004955,,POD PILOT,,CFG7386,,11.8999996185303,3.25,,
316004971,,EMPRESS III,,,,,,,
316005154,,,,,,,,,
316005203,,,,,,,,,
316005205,,,,,,,,,
316005232,,WYNDWARD,,,,,,,
316005257,,GM VENTURE,,,,,,,
316005316,,,,,,,,,
316005331,,,,,,,,,
316005408,,,,,,,,,
316005420,,,,,,,,,
316005454,,,,,,,,,
316005524,,ESTELLE,,CFH8961,,12.220000267028801,3.99000000953674,,
316005636,,PEGGY MCKENZIE,,,,,,,
316005680,,,,,,,,,
316005716,,SEASPAN TEMPEST,,,,18.1399993896484,7.01999998092651,,
316005748,,,,,,,,,
316005749,,,,,,,,,
316005750,,,,,,,,,
316005757,,,,,,,,,
316005787,,OCEAN VENTURE,,,,18.2900009155273,6.099999904632571,,
316005812,,PACIFIC LION,,,,,,,
316005815,,FORTUNA,,,,13.869999885559098,4.6399998664856,,
316005866,,C20027BC,,CFK5153,,,,,
316005869,,C01503BC,,CFN4113,,,,,
316005873,,C13731BC,,CFN4109,,,,,
316005877,,LAURIER 1,,CFN4105,,,,,
316005882,,,,,,,,,
316005888,,BARTLETT 1,,CG2878,,,,,
316005893,,C14478BC,,CFN4099,,7.53000020980835,,,
316005896,,C03147BC,,CFN4102,,7.32999992370605,,,
316005898,,C05397BC,,CFN4083,,7.32999992370605,,,
316005899,,C05469BC,,CFN4084,,7.2399997711181605,,,
316006050,,,,,,,,,
316006141,,,,,,,,,
316006163,,LASQUETI STORM,,,,,,,
316006510,,,,,,,,,
316006552,,,,,,,,,
316006671,,,,,,,,,
316006785,,JERICHO RESCUE,,,,,,,
316006889,,KINGSWAY,,VG3163,,,,,
316007051,,UROS,,,,,,,
316007146,,,,,,,,,
316007154,,BOLD PURSUIT,,,,18.2900009155273,5.880000114440921,,
316007157,,PAKALOT,,,,,,,
316007168,,SWISH,,,,,,,
316007249,,KEN MOORE,,,,,,,
316007429,,ECHO LARK,,CFN4681,,,,,
316007497,,NAUTILUS,,,,,,,
316007504,,MAZU,,CFK5453,,,,,
316007571,,PATIENCE,,,,,,,
316007577,,NORTHERN LIGHT,,,,13.8400001525879,4.57000017166138,,
316007649,,DOC SWAN,,,,,,,
316007656,,ODYSSEUS,,,,16.4899997711182,5.4899997711181605,,
316007823,,ROBERT HOLMES,,CFN5970,,,,,
316007918,,,,,,,,,
316007921,,ALEXAIRE,,CFC4071,,,,,
316007956,,KERKYRA,,,,11.960000038147,4.03999996185303,,
316007978,,,,,,,,,
316008045,,EXPLORATHOR EXPRESS,,,,14.859999656677198,3.8099999427795397,,
316008046,,EXPLORATHOR II,,,,14.9899997711182,4.86999988555908,,
316008174,,SPIRIT OF SOOKE,,,,,,,
316008556,,ISLAND FURY,,,,14.4499998092651,5.4899997711181605,,
316008578,,G B MEYNELL,,,,,,,
316008793,,RUBICON,,,,12.7399997711182,4.800000190734861,,
316008831,,HARTARO,,,,,,,
316008868,,WESTERN,,,,13.6599998474121,4.1100001335144,,
316008900,,,,,,,,,
316009004,,GOLDEN DAYS,,,,,,,
316009014,,,,,,,,,
316009045,,RIPPLE EFFECT,,CFK9060,,,,,
316009063,,ACHIEVER,,,,,,,
316009241,,,,,,,,,
316009424,,,,,,,,,
316009543,,,,,,,,,
316009810,,,,,,,,,
316009835,,,,,,,,,
316010021,,BERKANA,,CZ2966,,11.1599998474121,3.75,,
316010068,,MOSTLY HARMLESS,,CFG7558,,,,,
316010299,,SOLVEIG,,,,,,,
316010363,,BOONDOGGLE,,CFH8339,,,,,
316010543,,BLAZE,,CY2506,,,,,
316010633,,,,,,,,,
316010643,,,,,,,,,
316010779,,LADYSMITH RESPONDER,,,,,,,
316010959,,WHISKERS III,,,,14.3000001907349,4.5,,
316010973,,HARBOUR SENTINEL,,VX9590,,14.3199996948242,4.30999994277954,,
316011126,,COAST GUARD AUX 14,,,,,,,
316011383,,,,,,,,,
316011438,,,,,,,,,
316011497,,OCEAN BREEZE,,,,,,,
316011505,,WALRONDA,,,,16.7600002288818,4.019999980926509,,
316011516,,STRIKER IV,,,,,,,
316011525,,,,,,,,,
316011607,,AMANITA,,CFN4881,,,,,
316011663,,RAINCOAST SPIRIT,,,,,,,
316011714,,,,,,,,,
316011729,,NORTH ARM WRESTLER,,,,12.279999732971199,5.94000005722046,,
316011730,,,,,,,,,
316011757,,B C SUMMERS,,CZ3460,,,,,
316011769,,EXODUS IV,,,,,,,
316011862,,,,,,,,,
316011868,,,,,,,,,
316011903,,PARITY II,,,,13.109999656677198,4.32000017166138,,
316011912,,SIWASH SENTINEL,,VG9980,,11.8299999237061,3.3800001144409197,,
316011948,,,,,,,,,
316011999,,KARINYA,,,,11.3500003814697,3.75,,
316012014,,,,,,,,,
316012029,,LAHANA II,,,,,,,
316012111,,QUEEN OF DIAMONDS,IMO8989159,,,,,,
316012135,,STEVESTON LIFEBOATS,,VOQQ,,,,,
316012239,,DAME FORTUNE,,,,,,,
316012581,,CANTU,,,,,,,
316012748,,CLUB PARADISE,,CFN5096,,,,,
316013054,,,,,,,,,
316013073,,SPRING FEVER NO 1,,CFG7407,,,,,
316013087,,SEASPAN 201,IMO9462407,,,80.0,20.0,,
316013119,,,,,,,,,
316013198,,NITA MARIA,,CZ3954,,19.5100002288818,6.099999904632571,,
316013228,,,,,,,,,
316013506,,RED SHEILLA,,CFN5335,,13.0900001525879,4.40000009536743,,
316013533,,,,,,,,,
316013544,,LADNER LASS,,,,,,,
316013711,,CFAV GLENDYNE,,CGNF,,29.0,,,
316013819,,OAK BAY SEA RESCUE 2,,,,8.659999847412111,2.44000005722046,,
316013824,,LONE WOLF,,,,13.1999998092651,,,
316013852,,,,,,,,,
316013873,,AEGIS,,CFN6336,,12.119999885559098,4.42000007629395,,
316013875,,,,,,,,,
316013911,,DEFIANT,,,,11.5,3.6300001144409197,,
316013941,,TYEE TITAN,,,,,,,
316014038,,BURRARD CLEANER NO24,,,,6.900000095367429,,,
316014150,,LLYR,,CFN7238,,,,,
316014177,,RCM SAR AUX 20,,CFK5047,,8.22999954223633,3.1500000953674303,,
316014259,,,,,,,,,
